ID,Date,Time,State,Intensity,Injuries,Fatalities
7B75C964,4/26/1951,19:30:00,KS,1,0,0
F1C617CF,4/27/1951,14:20:00,OK,1,2,0
E1E0DCD7,4/28/1951,20:55:00,OH,2,5,0
4204B817,4/29/1951,18:15:00,NJ,1,2,0
32E5E211,4/30/1951,5:30:00,KS,3,0,0
BF738160,4/30/1951,9:00:00,NE,1,0,0
9E832292,4/30/1951,20:30:00,OK,1,0,0
BD22007A,4/30/1951,21:30:00,OK,3,0,0
E5E72EFF,4/30/1951,21:30:00,OK,2,0,0
B8679868,4/30/1951,23:45:00,KS,0,0,0
B58F5183,5/2/1951,19:30:00,KS,1,0,0
7365FF38,5/2/1951,20:30:00,KS,1,0,0
7D2D0A8C,5/3/1951,13:35:00,MI,2,0,0
24763456,5/8/1951,18:00:00,KS,1,0,0
7C73C568,5/9/1951,7:00:00,KS,1,0,0
A3264413,5/9/1951,17:00:00,TX,2,0,0
704F3EEF,5/9/1951,18:30:00,OK,1,0,0
2EFF6C11,5/9/1951,20:20:00,OK,2,1,0
9F164CFF,5/9/1951,21:00:00,KS,0,0,0
3FB17410,5/11/1951,13:30:00,PA,2,1,0
AB54FF5B,5/11/1951,15:00:00,VA,1,0,0
6AB952FC,5/13/1951,19:00:00,NE,0,0,0
7F044B28,5/13/1951,22:00:00,KS,1,0,0
CD666D6D,5/14/1951,17:30:00,KS,2,0,0
2BB4B457,5/14/1951,18:00:00,OK,2,0,0
24830803,5/14/1951,18:00:00,OK,2,0,0
DA94AC34,5/14/1951,18:30:00,KS,2,0,0
3219BF2F,5/14/1951,19:30:00,KS,3,4,0
E0929504,5/15/1951,18:30:00,TX,1,0,0
BF1B14DC,5/16/1951,10:00:00,OK,0,0,0
FA65A50F,5/17/1951,18:35:00,CO,0,0,0
37437006,5/18/1951,15:45:00,TX,4,100,2
49481276,5/18/1951,17:30:00,OK,1,0,0
F2D31AA6,5/18/1951,17:30:00,OK,1,0,0
46E0487C,5/18/1951,17:30:00,OK,1,0,0
F0AF14F2,5/19/1951,19:15:00,OK,1,0,0
E47E10A6,5/19/1951,19:30:00,OK,2,0,0
559AD2BF,5/19/1951,20:12:00,OK,0,0,0
F2ABE7D5,5/20/1951,14:00:00,CO,0,0,0
17A83656,5/20/1951,15:00:00,CO,1,0,0
C163F2EF,5/20/1951,15:00:00,CO,0,0,0
00FC5B73,5/20/1951,19:00:00,KS,3,0,0
5A3B4658,5/20/1951,19:00:00,KS,2,0,0
AFDD07FF,5/20/1951,19:00:00,KS,3,0,0
6BCD7501,5/21/1951,1:00:00,KS,2,0,0
84E3D6F5,5/21/1951,19:00:00,KS,1,0,0
D3DD9B6A,5/23/1951,4:23:00,GA,1,0,0
F8716E90,5/23/1951,15:30:00,GA,2,0,0
FB4156D2,5/24/1951,17:00:00,TX,1,0,1
974C5A9C,5/25/1951,14:30:00,KS,1,0,0
EEFD6537,5/25/1951,16:00:00,KS,3,0,1
C0FC57A6,5/25/1951,18:00:00,KS,2,0,0
4442D598,5/25/1951,21:00:00,MO,1,0,0
1A2C2C82,5/26/1951,9:30:00,FL,1,0,3
8C770AF1,5/26/1951,12:30:00,FL,1,0,0
B7695DB3,5/30/1951,14:34:00,NE,2,7,0
0A5FF701,5/30/1951,18:20:00,NE,1,0,0
223A52AC,5/30/1951,20:00:00,KS,1,0,0
CD314F99,5/30/1951,22:50:00,KS,1,0,0
28F8C0D3,5/30/1951,22:50:00,KS,0,0,0
98CEA416,5/30/1951,22:50:00,KS,1,0,0
A267707F,5/30/1951,22:50:00,KS,0,0,0
8F6194B8,5/30/1951,22:50:00,KS,0,0,0
FDD7AC8B,5/30/1951,22:50:00,KS,0,0,0
56A29327,5/30/1951,22:50:00,KS,0,0,0
4123F6AD,5/31/1951,16:00:00,TX,1,0,0
1625EB9B,5/31/1951,23:45:00,KS,2,0,0
6C0ACDF0,6/1/1951,18:00:00,MI,1,1,0
C2E6022C,6/1/1951,20:00:00,KS,1,0,0
A5CDA06D,6/1/1951,21:15:00,IA,3,7,0
825EFA4F,6/5/1951,15:30:00,NM,0,0,0
FBA53A14,6/5/1951,18:00:00,OK,2,0,0
C41F41E7,6/6/1951,13:30:00,CO,2,1,0
3DDE431C,6/6/1951,16:30:00,KS,2,3,0
F6F3AAD9,6/6/1951,18:00:00,KS,1,0,0
FB85A5BB,6/6/1951,18:20:00,TX,1,0,0
5E0D0FE5,6/6/1951,18:50:00,TX,0,0,0
12B5EBA4,6/6/1951,19:30:00,KS,3,3,0
9DE8B0D8,6/6/1951,19:30:00,KS,0,0,0
7313EA2F,6/6/1951,19:30:00,KS,0,0,0
AFA3C16E,6/6/1951,19:30:00,KS,1,0,0
CA1A4DA6,6/6/1951,19:30:00,KS,1,0,0
46F5D9B7,6/6/1951,20:00:00,KS,1,0,0
F2B8DCC8,6/6/1951,20:06:00,TX,3,12,0
92953D4B,6/6/1951,20:40:00,TX,0,0,0
54C58242,6/6/1951,20:50:00,TX,2,0,0
03833059,6/6/1951,21:30:00,OK,0,0,0
620A75A7,6/6/1951,22:00:00,KS,1,0,0
54EDC764,6/6/1951,23:50:00,OK,2,0,0
1F9E1588,6/7/1951,17:00:00,OK,2,0,0
F737EF83,6/7/1951,18:15:00,OK,1,1,0
0FE6456E,6/7/1951,22:55:00,OK,2,1,0
CC8F99F9,6/8/1951,9:00:00,AL,2,2,0
D572662C,6/8/1951,13:30:00,KS,1,0,0
8F85444C,6/8/1951,17:00:00,KS,2,0,0
D5F43BAA,6/8/1951,17:45:00,MO,1,0,0
739750BD,6/8/1951,18:30:00,OK,3,0,0
E05152F8,6/8/1951,19:14:00,OK,1,0,0
77D6DFC3,6/8/1951,19:15:00,OK,1,0,0
164BBE14,6/9/1951,5:30:00,MS,0,0,0
53F3239F,6/9/1951,17:00:00,NC,1,0,0
E2DA39CD,6/13/1951,15:05:00,VA,2,12,0
EB535B4E,6/13/1951,15:30:00,NC,1,0,0
B7350F2C,6/14/1951,11:30:00,ND,0,0,0
47B6F0EA,6/14/1951,21:00:00,CO,1,0,0
531E46D4,6/15/1951,19:15:00,KS,0,0,0
785668CE,6/15/1951,22:20:00,TX,1,6,0
0641034E,6/16/1951,0:30:00,TX,2,0,0
7AF71823,6/17/1951,15:00:00,KS,0,0,0
39ED11DA,6/17/1951,22:00:00,KS,0,0,0
E50ED704,6/17/1951,22:30:00,KS,0,0,0
99310979,6/17/1951,23:00:00,KS,0,0,0
2B34235D,6/18/1951,18:00:00,CO,2,0,0
DAA68CC9,6/19/1951,16:00:00,IA,1,0,0
A7EA63A4,6/19/1951,17:30:00,MN,4,20,1
D8697F2E,6/19/1951,17:45:00,NE,1,0,0
57A1440F,6/19/1951,18:00:00,KS,0,0,0
B0EC4323,6/19/1951,20:50:00,WI,2,0,0
51B95D0F,6/20/1951,22:00:00,KS,2,0,0
DBE858B9,6/20/1951,22:00:00,KS,1,0,0
74CF9AD9,6/20/1951,23:20:00,OK,1,0,0
C2CBE826,6/21/1951,1:00:00,KS,1,0,0
5AB41584,6/21/1951,17:00:00,OK,1,0,0
A8FA17B9,6/21/1951,19:50:00,IN,3,4,0
3D8853D6,6/21/1951,23:00:00,KS,2,0,0
BF3D34D6,6/22/1951,2:00:00,KS,0,0,0
FECC25AB,6/22/1951,15:30:00,OH,2,0,0
AC271023,6/23/1951,22:00:00,KS,2,5,1
69DF9066,6/23/1951,22:00:00,KS,1,0,1
C20D16A5,6/24/1951,14:00:00,SC,1,0,0
38F37E4C,6/25/1951,15:00:00,MN,2,0,0
801300D8,6/25/1951,15:30:00,NE,2,1,0
6CCA2279,6/25/1951,17:07:00,IA,2,8,0
DF902E12,6/25/1951,17:45:00,CO,1,1,0
78434C05,6/26/1951,14:45:00,WV,1,1,0
AF48F8B0,6/26/1951,18:00:00,MI,1,0,0
57C015B6,6/27/1951,0:10:00,KS,4,100,5
CBB69E36,6/27/1951,1:00:00,KS,1,0,0
5D2CA906,6/27/1951,6:00:00,OH,1,0,0
242D8CDA,6/27/1951,15:00:00,VA,1,0,0
